LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_0,0,0,11,0,0,0,0,0,10.0,0.0,10.0,0.0,322.0110337972537,28.937976174786765,0.0,1.8565277045816542,8.183316343143842,0.39320038461765217,1.3220576286349202,2.3012483651884126,657.4545454545455,18.565277045816543,8.25761530388799,0.0,0.0,0.0,1.1752801584858905
Track_1,1,1,11,0,0,0,0,0,10.0,0.0,10.0,0.0,221.61363645757012,323.8357438365667,0.0,2.5181519496271627,11.496919583857684,0.7160268400750135,1.5400173922407678,3.2132251083624213,985.0,25.181519496271626,11.496919583857684,0.0,0.0,0.0,1.029267327216957
Track_2,2,2,11,0,0,0,0,0,10.0,0.0,10.0,0.0,71.49098252919742,202.98751927876035,0.0,2.4253158370099044,7.999595574738627,0.6343027592447994,1.534963299807725,2.419097138794226,1002.8181818181819,24.253158370099044,9.410786639564162,0.0,0.0,0.0,0.9533291896547875
Track_3,3,3,11,0,0,0,0,0,10.0,0.0,10.0,0.0,377.5911636820684,24.70745822646168,0.0,2.8866549934694423,12.087171069930996,0.43786650590356896,1.3702320105941246,3.6744521346074155,662.6363636363636,28.866549934694426,12.087171069930996,0.0,0.0,0.0,0.8504213529024991
Track_4,4,4,10,0,0,0,0,0,9.0,0.0,9.0,15.802729982703351,255.36484092604096,327.6236452008058,0.0,1.9225983102337973,3.231988628189109,0.8644346419765576,1.895490946372198,0.6348696253723946,963.3,17.303384792104175,15.802729982703351,0.9132739156280222,1.755858886967039,0.9132739156280222,0.512261613448363
Track_5,5,5,10,0,0,0,0,0,9.0,0.0,9.0,16.224817092534124,668.6684418506405,205.87134796824938,0.0,2.23634465734904,4.285243651825549,1.5385977101674215,1.8513584278021293,0.8784581170889918,628.7,20.127101916141356,16.224817092534124,0.8061178981521571,1.802757454726014,0.8061178981521571,0.8603886957353758
Track_6,6,6,11,0,0,0,0,0,10.0,0.0,10.0,25.55057087654978,281.5645260338605,20.219627108987314,0.0,3.5181637071710066,12.805782911629448,0.6840086128478978,2.405263812870098,3.468521536973549,704.3636363636364,35.18163707171007,25.55057087654978,0.7262473552458781,2.555057087654978,0.7262473552458782,1.2320202716110407
Track_7,7,7,11,0,0,0,0,0,10.0,0.0,10.0,0.0,287.04987904805245,333.0210028203446,0.0,0.9932107429891011,3.498633931345989,0.3632683558438447,0.7289438753992511,0.9198160811614222,709.5454545454545,9.932107429891012,3.498633931345989,0.0,0.0,0.0,1.5390088867781415
