LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2048,2048,0,612.0,322.4584008643976,33.25337655321448,0.0,0.0,0,14.01417852659937,1,,291.10227272727275,290.0,249.0,351.0,179319.0,16.94777040367198,-0.004135058854123396,-0.14264096609286062,0.16567172429171703,-0.07075541413184785,22.020709502946907,9.702251992200198,2.128719070654871,2.269649306228051,617.0,103.2165170219649,0.7277741540042143,0.9716535433070866,4.155340510565271
ID5441,5441,0,672.0,321.70009942828733,25.105269699229428,0.0,9.0,9,14.609133399563152,1,,213.355754857997,211.0,185.0,278.0,142735.0,14.265727235881025,-0.010238475465670884,-0.3094177102791314,0.23930586210839616,0.2979057519561026,24.954595262329182,9.038157691568706,2.007956200875632,2.7610267616384045,670.5,119.43467561079896,0.590673895042912,0.9216494845360826,4.6124433291869975
ID2051,2051,0,652.0,322.019533231862,28.81100963977676,0.0,4.0,4,14.461313744703503,1,,208.4200913242009,207.0,179.0,266.0,136932.0,13.716314324561969,-0.01579227935671292,-0.4876297557263152,0.13325410869986037,0.6928107804586577,23.74875305371692,9.533672399757998,2.0415955312025096,2.491039345375425,656.9999999999999,115.58912312828805,0.6179328669241908,0.8944860449285225,4.509561191443208
ID2100,2100,0,661.0,322.14800806858295,27.495209278870398,0.0,5.0,5,14.505269206998044,1,,209.86274509803923,208.0,177.0,258.0,139139.0,13.643082518630218,-0.015048162822409502,-0.4700253983326356,0.08578689995432977,0.0737622398435716,23.536231786059354,9.431041206131153,-1.1390249632988816,2.49561329143153,661.0,112.80561043164232,0.6527545737252156,0.9277192982456138,4.387629727035599
ID2181,2181,0,643.0,321.83901808785527,31.728165374677005,0.0,1.0,1,14.328638336860381,1,,203.10990712074303,201.0,172.0,257.0,131209.0,13.669362369483776,-0.011267185291435035,-0.3386486393430091,-0.0765430662212926,0.28162440073842365,22.589148606888692,9.548170972901769,2.119270450336553,2.36580897755161,645.0000000000001,107.24850930880622,0.7046720559774097,0.967016491754123,4.222905930104686
ID2101,2101,0,694.0,322.57182056788355,24.996540205201622,0.0,7.0,7,14.91105145519181,1,,211.74175035868006,209.0,180.0,277.0,147584.0,14.599121916229972,-0.0083266155004241,-0.2435620453328352,-0.24488259181521418,0.8534184353850809,25.986615434075674,8.860048521615221,1.9758901309174501,2.9330105101205715,698.5,122.22926208521845,0.5875243825132536,0.8937939859245042,4.624789652187668
ID2134,2134,0,646.0,321.8602357161158,29.64809121188829,0.0,3.0,3,14.389599749908122,1,,206.61479198767336,205.0,175.0,280.0,134093.0,13.593963007238107,-0.019140255845110848,-0.5931795224461202,-0.27359774571679507,0.6343088841178306,23.418148843535427,9.744187801702818,2.0734065053448187,2.4032940784908776,650.5000000000001,109.58251235230483,0.6807296366504316,0.940028901734104,4.296527567318784
